"gene.id","ENSEMBL","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000067177","ENSG00000067113","8611","PLPP1",0.745980901638002,0.0317717225890096,1.12419898768272,0.282523566648044,0.498335327323008,-5.26602592768094
"ENSG00000069869","ENSG00000069764","8399","PLA2G10",0.350223610042031,3.67571285676241,1.30746069112978,0.215117165914172,0.4234678204699,-5.83085235276315
"ENSG00000075711","ENSG00000075651","5337","PLD1",-0.13756554150803,6.27804853657092,-0.974656855098433,0.348626818518363,0.560052114910145,-6.50707820569159
"ENSG00000079616","ENSG00000079462","5050","PAFAH1B3",-0.0445133024308572,4.34565682044085,-0.175430745609685,0.863614064573917,0.928258210663901,-6.79054959698859
"ENSG00000087269","ENSG00000087253","54947","LPCAT2",0.34445432624961,7.4961487719719,1.96970349793027,0.0719607504403734,0.23132668193761,-5.19956611328458
"ENSG00000100097","ENSG00000100078","50487","PLA2G3",0.22203749198211,2.31817094662005,0.728022359046237,0.480315660234109,0.674725023612985,-6.1154797769221
"ENSG00000105258","ENSG00000105223","23646","PLD3",0.504223946889675,3.90735611819512,3.18705778422414,0.00765602593016756,0.0817981694663859,-2.82798774724443
"ENSG00000116809","ENSG00000116711","5321","PLA2G4A",0.135439510108024,4.22673813868031,0.631940107166748,0.539067069307083,0.717468658262345,-6.6009879931569
"ENSG00000117399","ENSG00000117215","26279","PLA2G2D",1.10925223309781,-0.439175405593832,1.27845301152161,0.224833722875312,0.435273624286151,-4.87570609912673
"ENSG00000127774","ENSG00000127472","5322","PLA2G5",0.592313275722577,3.7009834123042,2.3161166557134,0.0386800806013444,0.167662742293486,-4.34985614449815
"ENSG00000129484","ENSG00000129219","5338","PLD2",0.0696397017196418,2.68476779890457,0.251215762093156,0.805821233134391,0.896182257091303,-6.45807523535571
"ENSG00000137161","ENSG00000136960","5168","ENPP2",-0.00511588084932699,5.93370506291197,-0.0329542868316359,0.974243104608809,0.988002055234004,-6.98569113366303
"ENSG00000138448","ENSG00000138308","84647","PLA2G12B",0.00961612489227265,3.73175150751987,0.0392743963166013,0.969305866442058,0.985730496608568,-6.71570162623709
"ENSG00000158427","ENSG00000158006","5051","PAFAH2",0.157198166461998,1.29592182869996,0.471562338211812,0.645545766894786,0.793290593649642,-6.05928757314093
"ENSG00000159199","ENSG00000158786","64600","PLA2G2F",0.754113520373958,5.36238696665169,2.66455983397391,0.0203426115320695,0.125962742200957,-3.9601674414448
"ENSG00000159784","ENSG00000159337","283748","PLA2G4D",1.93731577422829,-1.13997107438569,2.94889026700652,0.0119603929307997,0.0994124786302472,-2.64445699963396
"ENSG00000163956","ENSG00000163803","151056","PLB1",0.197055469819301,5.70249274810056,1.45212695092181,0.171650026236109,0.371522148518807,-5.93241565377359
"ENSG00000164506","ENSG00000164303","133121","ENPP6",-0.279782206197025,5.59223749183483,-2.25306748641769,0.0433784571309596,0.177406731939058,-4.69442062560381
"ENSG00000169155","ENSG00000168907","255189","PLA2G4F",-0.000687311608469786,4.94013626740915,-0.00490921606292377,0.996162248193791,0.998294809951356,-6.91021448054848
"ENSG00000169223","ENSG00000168970","8681","JMJD7-PLA2G4B",0.456563190661757,6.09456260401879,2.67663284248928,0.0198906195948225,0.12442944240065,-3.97877615963793
"ENSG00000188315","ENSG00000187980","391013","PLA2G2C",-0.265291357984442,3.25933202293209,-1.38443357309115,0.190980904847196,0.393886944096845,-5.64366415783628
