"gene.id","ENSEMBL","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000004468","ENSG00000004468","952","CD38",0.236058755520624,4.04332070726139,0.98121074481027,0.345513229266853,0.556578296229866,-6.28375113140466
"ENSG00000026297","ENSG00000026103","355","FAS",-0.604745400664817,4.95786652762058,-1.35826206512802,0.198923988406193,0.40451910274851,-5.98374938423399
"ENSG00000027847","ENSG00000027697","3459","IFNGR1",0.339464962905811,3.54595238176014,1.41340713788616,0.18249580124453,0.384196503321592,-5.69934669199844
"ENSG00000028203","ENSG00000028137","7133","TNFRSF1B",0.209437079267431,5.62841909992845,1.24306772022299,0.237161016072101,0.449071985981794,-6.19040722114775
"ENSG00000067221","ENSG00000067182","7132","TNFRSF1A",-0.153285782679656,2.42070843505233,-0.526802324376343,0.607759703159092,0.765620215938736,-6.28288442215161
"ENSG00000097096","ENSG00000096996","3594","IL12RB1",-0.362548048275726,2.72395180695736,-1.47855538084517,0.164563088482302,0.361396476732666,-5.43322406295444
"ENSG00000100307","ENSG00000100292","3162","HMOX1",-0.573368865241741,6.03797178113493,-2.09660843669052,0.0574816630780642,0.204996617352407,-4.97755932337636
"ENSG00000100395","ENSG00000100368","1439","CSF2RB",0.254297218060923,5.75235094062411,1.64071393392307,0.126321876187762,0.311887113296493,-5.67635736320731
"ENSG00000104517","ENSG00000104432","3574","IL7",-0.4648363608343,7.68708769672848,-2.70574162395548,0.0188409616005561,0.121418377539266,-3.93311557544012
"ENSG00000105281","ENSG00000105246","10148","EBI3",1.65340390865347,7.55671561477795,3.1575222717612,0.00809132852073705,0.0838731777486145,-3.10898480398703
"ENSG00000107614","ENSG00000107447","1791","DNTT",0.0817520451512321,4.369768170376,0.521210704401038,0.61153381244505,0.768967466105557,-6.68555485137197
"ENSG00000108106","ENSG00000107968","1326","MAP3K8",1.05891386282727,4.11955077397414,2.8089213913721,0.0155409341580096,0.11117087558141,-3.54375645416511
"ENSG00000108798","ENSG00000108688","6354","CCL7",1.53762919304539,3.17141541625862,4.45752712312435,0.000748621588337629,0.0329365355199822,-0.379271149824495
"ENSG00000110536","ENSG00000110395","867","CBL",0.577565001922568,3.69964342783123,3.14556459451662,0.00827456013359981,0.0850194708020356,-2.87065260310017
"ENSG00000111424","ENSG00000111321","4055","LTBR",3.31524191368705,4.54634790874472,7.27616292332422,8.82734027077155e-06,0.00271858850496946,3.93393328425958
"ENSG00000115255","ENSG00000115145","10254","STAM2",0.0634015097040483,0.782547084746642,0.135661452447318,0.89429767805176,0.945349627516914,-5.97747814095026
"ENSG00000115520","ENSG00000115386","5967","REG1A",0.150482698050511,5.363432685422,0.527794731292626,0.607091094571118,0.765460242173012,-6.79891846436231
"ENSG00000115525","ENSG00000115415","6772","STAT1",-1.09239609783988,4.23627949738731,-4.4144685947147,0.000807880884273831,0.0343058413896596,-0.619452115198895
"ENSG00000115750","ENSG00000115594","3554","IL1R1",0.217794206174814,4.58539872205407,1.11222943323573,0.287438097961857,0.503124149034941,-6.23632325682808
"ENSG00000115761","ENSG00000115604","8809","IL18R1",0.468925216391994,6.03181194525348,2.19264115639592,0.0483863119743844,0.18789036073664,-4.81135238059773
"ENSG00000116752","ENSG00000116678","3953","LEPR",0.350929874125796,5.6630546656207,1.75249620924708,0.104714236191569,0.280576319474618,-5.50454193087991
"ENSG00000119673","ENSG00000119535","1441","CSF3R",0.687639856329863,2.76948170645564,2.66025583187134,0.020506167342833,0.126311657886153,-3.57530694718567
"ENSG00000122986","ENSG00000122756","1271","CNTFR",-0.6070202851861,2.56622914475197,-0.81632353318084,0.429938656352151,0.631857850549033,-6.10673879807418
"ENSG00000124496","ENSG00000124334","3581","IL9R",-1.19826892174795,3.63688789894799,-2.18498808612572,0.049058241787396,0.189293967569369,-4.50725699324443
"ENSG00000125482","ENSG00000125347","3659","IRF1",0.129995907383872,4.91840173271911,0.658562321481285,0.522389722970408,0.706357819517352,-6.67496521250064
"ENSG00000125735","ENSG00000125538","3553","IL1B",1.4582267303405,6.57017828364417,2.62529941118357,0.0218831057794367,0.129941339066172,-4.05802693831501
"ENSG00000134644","ENSG00000134460","3559","IL2RA",-0.16264403854164,7.41123134482572,-1.09561818694523,0.2943656938634,0.509586007358244,-6.38900467918742
"ENSG00000134686","ENSG00000134470","3601","IL15RA",0.369781856683394,5.90798205685797,1.76065128700951,0.103274833371224,0.278549291298325,-5.50492880345226
"ENSG00000135365","ENSG00000135218","948","CD36",-0.735802868792296,4.95119797804073,-2.07613876329836,0.0596171288579062,0.209651993844566,-4.93088035059028
"ENSG00000135678","ENSG00000135503","91","ACVR1B",0.364884818729238,1.37963749019309,0.450101772944224,0.660516460931455,0.803286308041236,-5.92880234065814
