"","G03_G02_T03","G03_G02_T04"
"IL21_UP.V1_UP",2.71020405404401,1.34334332130559
"CSR_EARLY_UP.V1_UP",0.35731188943237,-0.736787313168701
"SIRNA_EIF4GI_UP",-0.299169365823253,-1.27982786326031
"CSR_LATE_UP.V1_UP",-0.215292418127987,-1.15966662636236
"SIRNA_EIF4GI_DN",0.419581080542408,1.99458286054726
"KRAS.DF.V1_DN",-1.35827712563287,1.07158559687112
"YAP1_UP",-0.203121534373409,-2.08821095071739
"IL2_UP.V1_UP",2.10344669206245,1.60144186136343
"CYCLIN_D1_KE_.V1_UP",-0.129051972669845,1.31533682188142
"MEK_UP.V1_DN",1.57675716582467,1.55996270336775
