"gene.id","ENSEMBL","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000022567","ENSG00000022556","55655","NLRP2",0.345902352834384,4.37058806293099,2.04344029513899,0.0631824028334496,0.216079386428948,-4.91627154215805
"ENSG00000025156","ENSG00000025039","58528","RRAGD",-0.406130712681819,5.33942584693941,-2.27267201168495,0.041862256258404,0.174470792376105,-4.63710139961028
"ENSG00000027847","ENSG00000027697","3459","IFNGR1",0.339464962905811,3.54595238176014,1.41340713788616,0.18249580124453,0.384196503321592,-5.69934669199844
"ENSG00000037042","ENSG00000036828","846","CASR",-0.4524971496856,1.83905791925367,-1.45908632619428,0.169759290847567,0.369432994711824,-5.2526652909586
"ENSG00000049883","ENSG00000049769","89801","PPP1R3F",-0.257816753152391,3.73043232738434,-1.08831119272586,0.297452666400413,0.512603232938305,-6.11160081402891
"ENSG00000050426","ENSG00000050393","63933","MCUR1",-0.796367819815526,5.0972689675427,-5.16997353799069,0.000219796396529448,0.0186396900622038,0.605629862292142
"ENSG00000073614","ENSG00000073584","6605","SMARCE1",-0.258019797409042,7.448790189736,-2.22206166083852,0.0458833379513495,0.18227179363362,-4.78312972508829
"ENSG00000079950","ENSG00000079819","2037","EPB41L2",-0.490535996461413,4.05433556588994,-2.84151045013063,0.0146224524596062,0.108034445160841,-3.47141519426812
"ENSG00000081154","ENSG00000081087","28962","OSTM1",-0.0119821640977612,7.55610743920281,-0.0876916788074138,0.931542141705163,0.964202621213248,-7.00134095514504
"ENSG00000104231","ENSG00000104154","7782","SLC30A4",-0.596062143433807,5.32189599828467,-3.47398196314814,0.00448044676817283,0.0665414575227495,-2.4626052576746
"ENSG00000106560","ENSG00000106483","6424","SFRP4",-1.46711616698586,6.20958389069321,-4.65610863432513,0.000528425717844176,0.0288979727847215,-0.327138892332177
"ENSG00000108423","ENSG00000108349","22794","CASC3",-0.68078812081603,3.55745183583012,-2.72781456780108,0.0180814721412377,0.119215475193749,-3.59294524715549
"ENSG00000111671","ENSG00000111605","11052","CPSF6",0.067082707278827,2.24841119010162,0.164831159391146,0.871771656733706,0.932998966507048,-6.37055177998823
"ENSG00000112584","ENSG00000112419","9749","PHACTR2",-0.142619712341903,5.67085025203439,-0.868115103600353,0.40205553590919,0.606447387320187,-6.5823997042815
"ENSG00000114416","ENSG00000114251","7474","WNT5A",-0.220077781493256,7.001661435935,-1.6593423155602,0.122468559629646,0.30670135763344,-5.67327336491108
"ENSG00000116678","ENSG00000116497","64766","S100PBP",-0.456979293019545,0.564603413853246,-1.06577174035801,0.307128229300652,0.520647722227135,-5.36667253784745
"ENSG00000120539","ENSG00000120327","56122","PCDHB14",-0.106958641308896,3.80476925462489,-0.538402928380246,0.599967323224033,0.759811447212516,-6.58134803578912
"ENSG00000125846","ENSG00000125775","27111","SDCBP2",-0.630929844906508,2.5552128521682,-1.82014205999452,0.0932999829824124,0.264252105721968,-4.91475831804379
"ENSG00000131966","ENSG00000131747","7153","TOP2A",0.253028928996032,5.11309745232003,1.43316489080656,0.176891852697421,0.377755249913972,-5.91440756568714
"ENSG00000132581","ENSG00000132429","64208","POPDC3",0.177588091181679,4.56892651009627,0.808029000312208,0.434519430551552,0.635320297338315,-6.52409792078607
"ENSG00000134717","ENSG00000134516","1794","DOCK2",0.273228053150569,6.08956028307029,1.77716578399278,0.100414072410988,0.274045552159503,-5.48743544440741
"ENSG00000145912","ENSG00000145715","5921","RASA1",0.5655285182905,6.50657773420929,2.42647225669883,0.0316039785088796,0.153405790331571,-4.42947376531216
"ENSG00000154589","ENSG00000154175","25890","ABI3BP",-0.403413505071744,1.69481906993515,-1.45980396436162,0.169565324808867,0.369288327871404,-5.23086230360739
"ENSG00000157106","ENSG00000156687","137970","UNC5D",-0.670437794133006,8.38592085235904,-3.74796718598137,0.00269753736519834,0.0520945210972213,-2.01012907350519
"ENSG00000160305","ENSG00000160087","118424","UBE2J2",-0.713291807753759,5.34484853061954,-2.43140499111964,0.0313186856286884,0.152708278483713,-4.36503528826194
"ENSG00000162244","ENSG00000161904","221496","LEMD2",-0.203578627804399,9.86021664851991,-1.62883592670607,0.128833989521437,0.314530916700769,-5.71095071755205
"ENSG00000166233","ENSG00000166025","154810","AMOTL1",-0.287542285109851,7.16512377193783,-2.073603201194,0.0598867421876874,0.210124160844826,-5.02833717520973
"ENSG00000169660","ENSG00000169359","9197","SLC33A1",-0.398120151099679,2.42646906174601,-1.04044130449663,0.318279785085908,0.530613868842014,-5.8831213026287
"ENSG00000180353","ENSG00000179981","10194","TSHZ1",0.294364662606144,8.56439219099964,1.41826913722051,0.181103194213123,0.382710487879412,-6.01102824422207
"ENSG00000183336","ENSG00000183049","57118","CAMK1D",0.250096556376191,2.41506101357196,0.588671317954996,0.56680215681356,0.737113639425391,-6.24953685300716
"ENSG00000185305","ENSG00000185022","23764","MAFF",-0.232604726483669,3.22770451024527,-1.17530873584591,0.262259551853276,0.476285620134822,-5.91529922014426
"ENSG00000196872","ENSG00000196569","3908","LAMA2",0.0171651289267449,-0.78731038672632,0.0265076417524873,0.979280336376469,0.990623025033608,-5.7109192037958
